_id,BUDGET_YEAR,BUDGET_MONTH_DESC,GROUP_NAME,DUTY_NAME,PRODUCT_NAME,TAX_NETTAX_AMT,UPDATE_DATE
65,2563,เมษายน,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,2603.0000,2566-08-11T00:00:00
66,2563,เมษายน,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,475740.0000,2566-08-11T00:00:00
67,2563,เมษายน,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,2500.0000,2566-08-11T00:00:00
68,2563,เมษายน,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,223260.0000,2566-08-11T00:00:00
69,2563,เมษายน,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),90948700.8400,2566-08-11T00:00:00
70,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,ซิการ์,1903532.6200,2566-08-11T00:00:00
71,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,475404208.0000,2566-08-11T00:00:00
72,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,4378842200.0000,2566-08-11T00:00:00
73,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,764225.0000,2566-08-11T00:00:00
74,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,ยาสูบ,834.2800,2566-08-11T00:00:00
75,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,6520000.0000,2566-08-11T00:00:00
76,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,464600.0000,2566-08-11T00:00:00
77,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,6250.0000,2566-08-11T00:00:00
78,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,115479.0000,2566-08-11T00:00:00
79,2563,พฤษภาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),96411904.5000,2566-08-11T00:00:00
80,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,ซิการ์,486730.9800,2566-08-11T00:00:00
81,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,595035288.8100,2566-08-11T00:00:00
82,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,3670152529.0100,2566-08-11T00:00:00
83,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,889825.0000,2566-08-11T00:00:00
84,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,ยาสูบ,2757.4200,2566-08-11T00:00:00
85,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,478780.0000,2566-08-11T00:00:00
86,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผลิตเพื่อขายเป็นวัตถุดิบให้แก่ผู้ประกอบอุสาหกรรมยาสูบโดยตรงหรือขายผ่านผู้ค้าคนกลางตามหลักเกณฑ์ วิธีการ และเงื่อนไขที่อธิบดีประกาศกำหนด,2000.0000,2566-08-11T00:00:00
87,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,5625.0000,2566-08-11T00:00:00
88,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,642120.0000,2566-08-11T00:00:00
89,2563,มิถุนายน,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),110974101.7000,2566-08-11T00:00:00
90,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,ซิการ์,2858140.3100,2566-08-11T00:00:00
91,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,553293364.5000,2566-08-11T00:00:00
92,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,5264845140.0000,2566-08-11T00:00:00
93,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,705825.0000,2566-08-11T00:00:00
94,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,ยาสูบ,4494.9000,2566-08-11T00:00:00
95,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,171.0000,2566-08-11T00:00:00
96,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,584500.0000,2566-08-11T00:00:00
97,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,7500.0000,2566-08-11T00:00:00
98,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,86980.0000,2566-08-11T00:00:00
99,2563,กรกฏาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),101468628.1700,2566-08-11T00:00:00
100,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,ซิการ์,4529890.3800,2566-08-11T00:00:00
101,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,527986720.0000,2566-08-11T00:00:00
102,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,4499507900.0000,2566-08-11T00:00:00
103,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,739985.0000,2566-08-11T00:00:00
104,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,ยาสูบ,5488.4300,2566-08-11T00:00:00
105,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,1993.6000,2566-08-11T00:00:00
106,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,501528.0000,2566-08-11T00:00:00
107,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,7500.0000,2566-08-11T00:00:00
108,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,51501.9000,2566-08-11T00:00:00
109,2563,สิงหาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),89357976.3700,2566-08-11T00:00:00
110,2563,กันยายน,ภาษียาสูบ,ยาสูบ,ซิการ์,676021.4600,2566-08-11T00:00:00
111,2563,กันยายน,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,313460449.0000,2566-08-11T00:00:00
112,2563,กันยายน,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,4306108776.0000,2566-08-11T00:00:00
113,2563,กันยายน,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,652800.0000,2566-08-11T00:00:00
114,2563,กันยายน,ภาษียาสูบ,ยาสูบ,ยาสูบ,17380.7100,2566-08-11T00:00:00
115,2563,กันยายน,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,789.0000,2566-08-11T00:00:00
116,2563,กันยายน,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,567624.5200,2566-08-11T00:00:00
117,2563,กันยายน,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,279623.2200,2566-08-11T00:00:00
118,2563,กันยายน,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),96608976.6600,2566-08-11T00:00:00
119,2563,กันยายน,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก) อื่นๆ นอกจาก (1),4.0000,2566-08-11T00:00:00
