_id,Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
199,2018,6,14,พระนครศรีอยุธยา,36.5,22
200,2018,6,16,ลพบุรี,36.4,24.3
201,2018,6,18,ชัยนาท,36,24
202,2018,6,20,ชลบุรี,36.8,21
203,2018,6,21,ระยอง,35.1,24.2
204,2018,6,22,จันทบุรี,35.4,21.8
205,2018,6,23,ตราด,33.5,22.5
206,2018,6,24,ฉะเชิงเทรา,34.3,23.4
207,2018,6,25,ปราจีนบุรี,36,23.4
208,2018,6,27,สระแก้ว,35.7,24.2
209,2018,6,30,นครราชสีมา,36.1,21.8
210,2018,6,31,บุรีรัมย์,36.7,23.3
211,2018,6,32,สุรินทร์,35.7,24
212,2018,6,33,ศรีสะเกษ,35.5,22.6
213,2018,6,34,อุบลราชธานี,35.4,22.4
214,2018,6,36,ชัยภูมิ,35.5,23.3
215,2018,6,40,ขอนแก่น,35.5,21.9
216,2018,6,41,อุดรธานี,35.6,22.9
217,2018,6,42,เลย,35.3,22.6
218,2018,6,43,หนองคาย,36.5,22.8
219,2018,6,44,มหาสารคาม,37.2,22.7
220,2018,6,45,ร้อยเอ็ด,35.7,23
221,2018,6,46,กาฬสินธุ์,35.5,22.6
222,2018,6,47,สกลนคร,34.9,22.6
223,2018,6,48,นครพนม,35.4,22.5
224,2018,6,49,มุกดาหาร,35.3,22.6
225,2018,6,50,เชียงใหม่,36,16.5
226,2018,6,51,ลำพูน,36,23.4
227,2018,6,52,ลำปาง,36.9,22.5
228,2018,6,53,อุตรดิตถ์,38.5,23.8
229,2018,6,54,แพร่,37,23.1
230,2018,6,55,น่าน,37.2,21.4
231,2018,6,56,พะเยา,35.5,22.5
232,2018,6,57,เชียงราย,35.6,22.4
233,2018,6,58,แม่ฮ่องสอน,38.7,21.3
234,2018,6,60,นครสวรรค์,36.6,22.9
235,2018,6,62,กำแพงเพชร,36.2,23.8
236,2018,6,63,ตาก,36.9,19.2
237,2018,6,64,สุโขทัย,37,24.2
238,2018,6,65,พิษณุโลก,36,23.8
239,2018,6,66,พิจิตร,35.5,23.3
240,2018,6,67,เพชรบูรณ์,36.6,22.3
241,2018,6,70,ราชบุรี,35.1,23.8
242,2018,6,71,กาญจนบุรี,36.9,23.2
243,2018,6,72,สุพรรณบุรี,37.2,24
244,2018,6,73,นครปฐม,35.8,24.2
245,2018,6,76,เพชรบุรี,36.6,24.8
246,2018,6,77,ประจวบคีรีขันธ์,37,22.4
247,2018,6,80,นครศรีธรรมราช,36.5,23
248,2018,6,81,กระบี่,34.5,22.1
249,2018,6,82,พังงา,33.6,23.3
250,2018,6,83,ภูเก็ต,35.4,20.7
251,2018,6,84,สุราษฎร์ธานี,36,22.6
252,2018,6,85,ระนอง,34,23.4
253,2018,6,86,ชุมพร,35.5,23
254,2018,6,90,สงขลา,35.6,22.1
255,2018,6,91,สตูล,34.5,22.7
256,2018,6,92,ตรัง,35.4,22.8
257,2018,6,93,พัทลุง,35.3,23.6
258,2018,6,94,ปัตตานี,35.9,22.9
259,2018,6,95,ยะลา,36.9,22.8
260,2018,6,96,นราธิวาส,35.4,20
261,2018,7,10,กรุงเทพมหานคร,35.5,24.4
262,2018,7,11,สมุทรปราการ,32,26
263,2018,7,13,ปทุมธานี,36.3,24.5
264,2018,7,14,พระนครศรีอยุธยา,35,22.5
265,2018,7,16,ลพบุรี,36,22.8
266,2018,7,18,ชัยนาท,36,23.8
267,2018,7,20,ชลบุรี,37.7,23
268,2018,7,21,ระยอง,33.7,23.3
269,2018,7,22,จันทบุรี,33.1,21.5
270,2018,7,23,ตราด,32.8,22.5
271,2018,7,24,ฉะเชิงเทรา,34.7,23
272,2018,7,25,ปราจีนบุรี,35,23.3
273,2018,7,27,สระแก้ว,35.6,23.6
274,2018,7,30,นครราชสีมา,35.9,22.6
275,2018,7,31,บุรีรัมย์,36.2,23.3
276,2018,7,32,สุรินทร์,35.1,23.6
277,2018,7,33,ศรีสะเกษ,34.8,23.4
278,2018,7,34,อุบลราชธานี,35.7,23.4
279,2018,7,36,ชัยภูมิ,35.3,22.9
280,2018,7,40,ขอนแก่น,35.4,23.4
281,2018,7,41,อุดรธานี,35.3,24
282,2018,7,42,เลย,35.3,23.1
283,2018,7,43,หนองคาย,35.6,23.7
284,2018,7,44,มหาสารคาม,35.5,23.6
285,2018,7,45,ร้อยเอ็ด,35.5,23.4
286,2018,7,46,กาฬสินธุ์,35,23.3
287,2018,7,47,สกลนคร,34.9,22.7
288,2018,7,48,นครพนม,34.7,23
289,2018,7,49,มุกดาหาร,35.4,23
290,2018,7,50,เชียงใหม่,35.3,17
291,2018,7,51,ลำพูน,35.6,23.4
292,2018,7,52,ลำปาง,35.8,22.5
293,2018,7,53,อุตรดิตถ์,36.5,24.5
294,2018,7,54,แพร่,35.1,23.5
295,2018,7,55,น่าน,37.5,22.7
296,2018,7,56,พะเยา,34.5,20.8
297,2018,7,57,เชียงราย,35.1,23.3
298,2018,7,58,แม่ฮ่องสอน,34.5,21.5
299,2018,7,60,นครสวรรค์,35,23.4
300,2018,7,62,กำแพงเพชร,34.5,24.4
301,2018,7,63,ตาก,35,18.8
302,2018,7,64,สุโขทัย,35.8,24
303,2018,7,65,พิษณุโลก,35,23.6
304,2018,7,66,พิจิตร,35,23.5
305,2018,7,67,เพชรบูรณ์,35.7,21.8
306,2018,7,70,ราชบุรี,35.4,24
307,2018,7,71,กาญจนบุรี,35.5,23.1
308,2018,7,72,สุพรรณบุรี,35.7,24
309,2018,7,73,นครปฐม,36.6,24
310,2018,7,76,เพชรบุรี,36.9,24.5
311,2018,7,77,ประจวบคีรีขันธ์,36.9,22.7
312,2018,7,80,นครศรีธรรมราช,36,22.5
313,2018,7,81,กระบี่,34.5,22.2
314,2018,7,82,พังงา,32,23.2
315,2018,7,83,ภูเก็ต,34.8,20.4
316,2018,7,84,สุราษฎร์ธานี,35.5,22.3
317,2018,7,85,ระนอง,32,23
318,2018,7,86,ชุมพร,33.8,23.2
319,2018,7,90,สงขลา,35.8,22.1
320,2018,7,91,สตูล,34.3,22.7
321,2018,7,92,ตรัง,34.6,22.9
322,2018,7,93,พัทลุง,35.2,23.6
323,2018,7,94,ปัตตานี,35.5,23.5
324,2018,7,95,ยะลา,36.6,22.8
325,2018,7,96,นราธิวาส,36.7,19.5
326,2018,8,10,กรุงเทพมหานคร,34.1,23.9
327,2018,8,11,สมุทรปราการ,31,26.3
328,2018,8,13,ปทุมธานี,36.8,24
329,2018,8,14,พระนครศรีอยุธยา,34.7,22
330,2018,8,16,ลพบุรี,35.1,23.2
331,2018,8,18,ชัยนาท,36,24
332,2018,8,20,ชลบุรี,34.5,23.9
333,2018,8,21,ระยอง,32.9,24.2
334,2018,8,22,จันทบุรี,32.4,21.8
335,2018,8,23,ตราด,32,23
336,2018,8,24,ฉะเชิงเทรา,33.6,23.2
337,2018,8,25,ปราจีนบุรี,34.7,23.5
338,2018,8,27,สระแก้ว,34.5,23.2
339,2018,8,30,นครราชสีมา,35.2,21.8
340,2018,8,31,บุรีรัมย์,35.5,23
341,2018,8,32,สุรินทร์,34.3,23
342,2018,8,33,ศรีสะเกษ,33.1,22.9
343,2018,8,34,อุบลราชธานี,34.1,23.2
344,2018,8,36,ชัยภูมิ,33.9,22.2
345,2018,8,40,ขอนแก่น,34.7,23.3
346,2018,8,41,อุดรธานี,34.4,23.8
347,2018,8,42,เลย,34,23.3
348,2018,8,43,หนองคาย,34.7,23.3
349,2018,8,44,มหาสารคาม,35.3,23.6
350,2018,8,45,ร้อยเอ็ด,34.3,23.3
351,2018,8,46,กาฬสินธุ์,33.4,22.8
352,2018,8,47,สกลนคร,34,23
353,2018,8,48,นครพนม,34,22.9
354,2018,8,49,มุกดาหาร,34,23.3
355,2018,8,50,เชียงใหม่,34.1,17.2
356,2018,8,51,ลำพูน,34.5,23
357,2018,8,52,ลำปาง,35.5,22.5
358,2018,8,53,อุตรดิตถ์,37,24.2
359,2018,8,54,แพร่,34.9,23.5
360,2018,8,55,น่าน,35,22.7
361,2018,8,56,พะเยา,34,22.5
362,2018,8,57,เชียงราย,33.3,23.3
363,2018,8,58,แม่ฮ่องสอน,33.5,22.5
364,2018,8,60,นครสวรรค์,35.1,22.8
365,2018,8,62,กำแพงเพชร,34.3,23.1
366,2018,8,63,ตาก,34,18.3
367,2018,8,64,สุโขทัย,35.5,23.6
368,2018,8,65,พิษณุโลก,35,23.5
369,2018,8,66,พิจิตร,33.8,23.5
370,2018,8,67,เพชรบูรณ์,34.5,22.4
371,2018,8,70,ราชบุรี,35.2,23.9
372,2018,8,71,กาญจนบุรี,36.8,21.6
373,2018,8,72,สุพรรณบุรี,36.5,23.8
374,2018,8,73,นครปฐม,35.8,23.5
375,2018,8,76,เพชรบุรี,35.8,24.5
376,2018,8,77,ประจวบคีรีขันธ์,36.1,22.2
377,2018,8,80,นครศรีธรรมราช,36,22.5
378,2018,8,81,กระบี่,33.1,22.3
379,2018,8,82,พังงา,32.8,23.5
380,2018,8,83,ภูเก็ต,35.6,22.1
381,2018,8,84,สุราษฎร์ธานี,36,22.3
382,2018,8,85,ระนอง,32.3,23.5
383,2018,8,86,ชุมพร,33.6,23
384,2018,8,90,สงขลา,36.3,22.1
385,2018,8,91,สตูล,34,22
386,2018,8,92,ตรัง,35,23.7
387,2018,8,93,พัทลุง,36.5,23.5
388,2018,8,94,ปัตตานี,36.2,23.3
389,2018,8,95,ยะลา,37.5,22.4
390,2018,8,96,นราธิวาส,36.8,20.3
391,2018,9,10,กรุงเทพมหานคร,36,23
392,2018,9,11,สมุทรปราการ,32.7,23.1
393,2018,9,13,ปทุมธานี,38,23.6
394,2018,9,14,พระนครศรีอยุธยา,36.1,22.5
395,2018,9,16,ลพบุรี,36,23.2
396,2018,9,18,ชัยนาท,36.3,23.8
397,2018,9,20,ชลบุรี,38.1,21.1
398,2018,9,21,ระยอง,34.1,22.6
399,2018,9,22,จันทบุรี,34.3,22
400,2018,9,23,ตราด,33.7,22.3
401,2018,9,24,ฉะเชิงเทรา,35,22.3
402,2018,9,25,ปราจีนบุรี,36.4,23.7
403,2018,9,27,สระแก้ว,35.8,23.3
404,2018,9,30,นครราชสีมา,36.2,20.7
405,2018,9,31,บุรีรัมย์,36.1,21.7
406,2018,9,32,สุรินทร์,35.9,22.9
407,2018,9,33,ศรีสะเกษ,35.4,22.5
408,2018,9,34,อุบลราชธานี,35.5,22
409,2018,9,36,ชัยภูมิ,35.5,22.2
410,2018,9,40,ขอนแก่น,36.5,21.9
411,2018,9,41,อุดรธานี,35.8,23.2
412,2018,9,42,เลย,34.9,22
413,2018,9,43,หนองคาย,36.7,22.6
414,2018,9,44,มหาสารคาม,36.2,22.5
415,2018,9,45,ร้อยเอ็ด,35.6,22.7
416,2018,9,46,กาฬสินธุ์,34.9,23.3
417,2018,9,47,สกลนคร,35,23.4
418,2018,9,48,นครพนม,34.8,22.7
419,2018,9,49,มุกดาหาร,36.1,21.6
420,2018,9,50,เชียงใหม่,36.5,16.8
421,2018,9,51,ลำพูน,36.7,23
422,2018,9,52,ลำปาง,37,21.5
423,2018,9,53,อุตรดิตถ์,37.1,23.7
424,2018,9,54,แพร่,36.6,23
425,2018,9,55,น่าน,36.9,21.5
426,2018,9,56,พะเยา,34.4,21
427,2018,9,57,เชียงราย,35.9,22.2
428,2018,9,58,แม่ฮ่องสอน,36,22.2
429,2018,9,60,นครสวรรค์,36.2,23.5
430,2018,9,62,กำแพงเพชร,37.2,23.2
431,2018,9,63,ตาก,37.8,17.5
432,2018,9,64,สุโขทัย,37.7,23.3
433,2018,9,65,พิษณุโลก,36.5,23.5
434,2018,9,66,พิจิตร,36,23.2
435,2018,9,67,เพชรบูรณ์,36,22
436,2018,9,70,ราชบุรี,36.6,23.4
437,2018,9,71,กาญจนบุรี,36.5,21.5
438,2018,9,72,สุพรรณบุรี,37.3,23.5
439,2018,9,73,นครปฐม,36,23
440,2018,9,76,เพชรบุรี,37.4,24.3
441,2018,9,77,ประจวบคีรีขันธ์,35.7,21.7
442,2018,9,80,นครศรีธรรมราช,37,22.8
443,2018,9,81,กระบี่,34.3,21.8
444,2018,9,82,พังงา,33.3,22.4
445,2018,9,83,ภูเก็ต,35.4,20.5
446,2018,9,84,สุราษฎร์ธานี,36.1,22.2
447,2018,9,85,ระนอง,33.5,22.4
448,2018,9,86,ชุมพร,34.8,22.5
449,2018,9,90,สงขลา,35.2,21.5
450,2018,9,91,สตูล,34.1,22
451,2018,9,92,ตรัง,35.3,22.8
452,2018,9,93,พัทลุง,35.8,22.9
453,2018,9,94,ปัตตานี,35,22.5
454,2018,9,95,ยะลา,35.1,22
455,2018,9,96,นราธิวาส,35,22
456,2018,10,10,กรุงเทพมหานคร,35.7,21.5
457,2018,10,11,สมุทรปราการ,33.5,21.9
458,2018,10,13,ปทุมธานี,37.7,22.5
459,2018,10,14,พระนครศรีอยุธยา,36,20.7
460,2018,10,16,ลพบุรี,36.2,20.5
461,2018,10,18,ชัยนาท,36.2,21
462,2018,10,20,ชลบุรี,38.7,20.4
463,2018,10,21,ระยอง,34.3,23
464,2018,10,22,จันทบุรี,35.5,22.5
465,2018,10,23,ตราด,34,22.3
466,2018,10,24,ฉะเชิงเทรา,35,20.2
467,2018,10,25,ปราจีนบุรี,35.9,21.2
468,2018,10,27,สระแก้ว,39.7,21.7
469,2018,10,30,นครราชสีมา,36.5,19.7
470,2018,10,31,บุรีรัมย์,35.9,18.8
471,2018,10,32,สุรินทร์,35.7,19.6
472,2018,10,33,ศรีสะเกษ,35.3,20.2
473,2018,10,34,อุบลราชธานี,35.9,19.5
474,2018,10,36,ชัยภูมิ,35.7,21.1
475,2018,10,40,ขอนแก่น,36.2,17.4
476,2018,10,41,อุดรธานี,36,18.8
477,2018,10,42,เลย,36.5,18.1
478,2018,10,43,หนองคาย,36.4,20
479,2018,10,44,มหาสารคาม,36.4,19.5
480,2018,10,45,ร้อยเอ็ด,35.3,19.2
481,2018,10,46,กาฬสินธุ์,35.3,20.3
482,2018,10,47,สกลนคร,35.1,18.4
483,2018,10,48,นครพนม,35.3,18.8
484,2018,10,49,มุกดาหาร,36,19.3
485,2018,10,50,เชียงใหม่,35.6,14.5
486,2018,10,51,ลำพูน,35.6,22.5
487,2018,10,52,ลำปาง,36.3,20.9
488,2018,10,53,อุตรดิตถ์,36.6,22.3
489,2018,10,54,แพร่,35.8,20.5
490,2018,10,55,น่าน,36.5,18.8
491,2018,10,56,พะเยา,33.8,20.5
492,2018,10,57,เชียงราย,33.5,21.1
493,2018,10,58,แม่ฮ่องสอน,36.5,20.4
494,2018,10,60,นครสวรรค์,37.3,20.9
495,2018,10,62,กำแพงเพชร,36.7,22.8
496,2018,10,63,ตาก,43.5,16.9
497,2018,10,64,สุโขทัย,36,22.6
498,2018,10,65,พิษณุโลก,36.2,22
499,2018,10,66,พิจิตร,35.6,22
500,2018,10,67,เพชรบูรณ์,36.8,20
501,2018,10,70,ราชบุรี,35,24
502,2018,10,71,กาญจนบุรี,36.4,21
503,2018,10,72,สุพรรณบุรี,36.4,21.5
504,2018,10,73,นครปฐม,35.3,23.5
505,2018,10,76,เพชรบุรี,35.9,23.5
506,2018,10,77,ประจวบคีรีขันธ์,35.7,22.3
507,2018,10,80,นครศรีธรรมราช,36,23
508,2018,10,81,กระบี่,34.1,22.2
509,2018,10,82,พังงา,34.1,22
510,2018,10,83,ภูเก็ต,34.7,21
511,2018,10,84,สุราษฎร์ธานี,35.2,22.3
512,2018,10,85,ระนอง,33.7,22.6
513,2018,10,86,ชุมพร,34.5,22.2
514,2018,10,90,สงขลา,35.4,21.5
515,2018,10,91,สตูล,33.9,22.8
516,2018,10,92,ตรัง,35.2,23.1
517,2018,10,93,พัทลุง,34.3,22.8
518,2018,10,94,ปัตตานี,34.3,22.8
519,2018,10,95,ยะลา,35.2,22.6
520,2018,10,96,นราธิวาส,34.2,23
521,2018,11,10,กรุงเทพมหานคร,36,20.7
522,2018,11,11,สมุทรปราการ,32.6,23.4
523,2018,11,13,ปทุมธานี,37.3,20.9
524,2018,11,14,พระนครศรีอยุธยา,36,18
525,2018,11,16,ลพบุรี,36.3,16.4
526,2018,11,18,ชัยนาท,34.8,19.8
527,2018,11,20,ชลบุรี,36.9,19.8
528,2018,11,21,ระยอง,35.2,21.2
529,2018,11,22,จันทบุรี,36.1,20
530,2018,11,23,ตราด,35.2,20
531,2018,11,24,ฉะเชิงเทรา,35.5,18
532,2018,11,25,ปราจีนบุรี,37.2,19.2
533,2018,11,27,สระแก้ว,36.7,20
534,2018,11,30,นครราชสีมา,36,17
535,2018,11,31,บุรีรัมย์,36.5,17.2
536,2018,11,32,สุรินทร์,36,18.3
537,2018,11,33,ศรีสะเกษ,35.4,18.6
538,2018,11,34,อุบลราชธานี,35.7,17.8
539,2018,11,36,ชัยภูมิ,36.1,16.7
540,2018,11,40,ขอนแก่น,36.1,15.1
541,2018,11,41,อุดรธานี,35.3,16
542,2018,11,42,เลย,34.6,14.5
543,2018,11,43,หนองคาย,35.5,18.2
544,2018,11,44,มหาสารคาม,36.5,16.5
545,2018,11,45,ร้อยเอ็ด,36.2,17
546,2018,11,46,กาฬสินธุ์,35.5,15
547,2018,11,47,สกลนคร,35,16.1
548,2018,11,48,นครพนม,35.4,15.4
549,2018,11,49,มุกดาหาร,35.7,16.2
550,2018,11,50,เชียงใหม่,34.2,11.6
551,2018,11,51,ลำพูน,34.5,16.3
552,2018,11,52,ลำปาง,36.2,14.5
553,2018,11,53,อุตรดิตถ์,37.4,19
554,2018,11,54,แพร่,36,15.5
555,2018,11,55,น่าน,35,13.4
556,2018,11,56,พะเยา,33.2,14.5
557,2018,11,57,เชียงราย,33.2,14.1
558,2018,11,58,แม่ฮ่องสอน,34.7,15.9
559,2018,11,60,นครสวรรค์,36.2,17.8
